genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Hebeloma	0	0	8	0	0	0	0	0	0	0
Exidia	0	0	8	0	0	0	0	0	0	0
Yarrowia	0	0	0	8	0	0	0	0	0	0
Subulicystidium	0	0	7	0	0	0	0	0	0	0
Allomyces	0	7	0	0	0	0	0	0	0	0
Postia	0	0	7	0	0	0	0	0	0	0
Leptoxyphium	0	0	7	0	0	0	0	0	0	0
Pleurothecium	0	0	0	7	0	0	0	0	0	0
Ramophialophora	0	0	0	0	0	6	0	0	0	0
Minimedusa	0	0	0	0	6	0	0	0	0	0
Galerella	0	0	0	0	6	0	0	0	0	0
Stilbocrea	0	0	0	0	0	6	0	0	0	0
Cosmospora	0	0	0	0	0	0	0	6	0	0
Hormonema	0	0	0	0	0	0	0	6	0	0
Torulaspora	0	0	0	0	0	0	0	0	6	0
Athelia	0	0	2	3	0	0	0	0	0	0
Parastagonospora	0	0	5	0	0	0	0	0	0	0
Yamadazyma	0	0	5	0	0	0	0	0	0	0
Atractospora	0	0	5	0	0	0	0	0	0	0
Microscypha	0	0	5	0	0	0	0	0	0	0
Albifimbria	0	0	5	0	0	0	0	0	0	0
Iodophanus	0	0	0	0	0	5	0	0	0	0
Remersonia	0	0	5	0	0	0	0	0	0	0
Verticimonosporium	0	0	5	0	0	0	0	0	0	0
Robbauera	0	0	5	0	0	0	0	0	0	0
Ustilaginoidea	0	0	0	5	0	0	0	0	0	0
Trichomonascus	0	0	0	4	0	0	0	0	0	0
Comoclathris	0	0	4	0	0	0	0	0	0	0
Phaeococcomyces	0	0	4	0	0	0	0	0	0	0
Savoryella	0	0	4	0	0	0	0	0	0	0
Nadsonia	0	0	4	0	0	0	0	0	0	0
Magnaporthiopsis	0	0	4	0	0	0	0	0	0	0
Moniliella	0	0	4	0	0	0	0	0	0	0
Scedosporium	0	0	4	0	0	0	0	0	0	0
Amanita	0	0	0	4	0	0	0	0	0	0
Cryptomarasmius	0	0	0	0	4	0	0	0	0	0
Coniochaeta	0	0	3	0	0	0	0	0	0	0
Lycogalopsis	0	0	0	0	0	0	0	3	0	0
Disculoides	0	0	0	3	0	0	0	0	0	0
Pyxidiophora	0	0	0	3	0	0	0	0	0	0
Volvopluteus	0	0	0	3	0	0	0	0	0	0
Diaporthe	0	0	0	0	0	0	0	0	0	2
Zopfiella	0	0	0	0	0	0	0	0	2	0
Cuphophyllus	0	0	0	0	0	0	2	0	0	0
Melanoleuca	0	0	0	0	0	0	2	0	0	0
Actinomucor	0	0	0	0	1	0	0	0	0	0
Beauveria	0	0	0	0	0	0	0	0	0	0
Phialophora	0	0	0	0	0	0	0	0	0	0
Bonordeniella	0	0	0	0	0	0	0	0	0	0
Rasamsonia	0	0	0	0	0	0	0	0	0	0
Crassicarpon	0	0	0	0	0	0	0	0	0	0
Chrysanthotrichum	0	0	0	0	0	0	0	0	0	0
Montagnula	0	0	0	0	0	0	0	0	0	0
Phialosimplex	0	0	0	0	0	0	0	0	0	0
Alfaria	0	0	0	0	0	0	0	0	0	0
Gorgomyces	0	0	0	0	0	0	0	0	0	0
Pseudeurotium	0	0	0	0	0	0	0	0	0	0
Lectera	0	0	0	0	0	0	0	0	0	0
Eichleriella	0	0	0	0	0	0	0	0	0	0
Exutisphaerella	0	0	0	0	0	0	0	0	0	0
Peniophora	0	0	0	0	0	0	0	0	0	0
Ceratobasidium	0	0	0	0	0	0	0	0	0	0
Acrostalagmus	0	0	0	0	0	0	0	0	0	0
Arthrocatena	0	0	0	0	0	0	0	0	0	0
Plenodomus	0	0	0	0	0	0	0	0	0	0
