genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Limosilactobacillus	0	33	0	74	0	0	2	0	2	0
Shuttleworthia	0	0	0	0	111	0	0	0	0	0
Tardiphaga	0	100	0	0	0	0	0	0	10	0
Rahnella1	0	0	106	0	0	0	0	0	0	0
Methylocystis	0	0	106	0	0	0	0	0	0	0
Spirosoma	0	0	7	0	0	9	0	0	0	90
Peptoniphilus	0	0	0	12	0	0	0	0	0	94
Rudaea	10	0	39	0	0	38	9	0	9	0
Capnocytophaga	0	44	0	0	0	0	0	61	0	0
Sulfurovum	0	0	0	0	105	0	0	0	0	0
Georgenia	0	0	0	0	0	0	0	105	0	0
OM43_clade	0	0	0	0	104	0	0	0	0	0
Coprococcus	0	0	0	0	0	0	0	104	0	0
Vulgatibacter	2	0	0	0	0	37	8	0	0	56
Roseisolibacter	9	0	0	93	0	0	0	0	0	0
Nitrosospira	8	0	0	0	0	0	0	93	0	0
Syntrophus	0	0	100	0	0	0	0	0	0	0
Marine_Methylotrophic_Group_3	0	99	0	0	0	0	0	0	0	0
Pedobacter	0	8	40	0	0	0	10	28	0	13
Edaphobacter	0	0	0	0	0	0	0	77	0	22
bacterium_YC_ZSS_LKJ199	0	0	0	0	0	0	0	0	0	98
Prosthecomicrobium	0	0	0	65	0	0	8	0	24	0
Pusillimonas	0	0	0	0	0	0	0	97	0	0
Rubellimicrobium	0	0	0	96	0	0	0	0	0	0
RB41	0	6	21	4	39	10	0	3	0	12
Lachnospiraceae_NC2004_group	0	0	0	0	0	0	0	0	0	95
Geothrix	0	0	0	0	0	23	31	0	40	0
Malikia	0	0	0	0	0	0	0	94	0	0
Pleomorphomonas	0	0	0	0	0	29	16	0	47	0
Actinoallomurus	13	0	71	0	0	0	6	0	0	0
Chitinimonas	0	0	0	79	0	0	0	0	11	0
Gemella	0	0	89	0	0	0	0	0	0	0
Segetibacter	0	0	88	0	0	0	0	0	0	0
Candidatus_Cloacimonas	0	0	88	0	0	0	0	0	0	0
Hafnia_Obesumbacterium	0	0	0	0	88	0	0	0	0	0
Salinimonas	0	0	0	87	0	0	0	0	0	0
Tepidimonas	0	0	0	0	87	0	0	0	0	0
Noviherbaspirillum	24	0	0	0	0	0	0	0	62	0
Vibrio	16	0	65	0	0	5	0	0	0	0
Panacagrimonas	0	0	86	0	0	0	0	0	0	0
Blastococcus	0	0	31	47	0	0	0	0	8	0
Microvirga	0	0	0	0	48	18	0	0	20	0
Alsobacter	9	0	76	0	0	0	0	0	0	0
Herpetosiphon	0	0	0	0	6	0	0	0	0	79
Nonomuraea	0	0	0	0	0	85	0	0	0	0
dgA_11_gut_group	0	0	0	84	0	0	0	0	0	0
Lachnospiraceae_NK4B4_group	0	0	0	84	0	0	0	0	0	0
Ureibacillus	0	0	0	83	0	0	0	0	0	0
Gilliamella	10	0	0	71	0	0	0	0	0	0
Oligella	0	75	0	0	0	0	6	0	0	0
Rickettsia	0	0	81	0	0	0	0	0	0	0
Haematococcus_lacustris	0	0	0	0	0	13	0	0	0	68
Flavihumibacter	0	0	0	0	0	53	7	0	20	0
DSSF69	0	78	0	0	0	0	0	0	0	0
Erysipelothrix	19	0	0	58	0	0	0	0	0	0
Paenisporosarcina	0	0	54	0	0	23	0	0	0	0
Desulfitobacterium	0	0	6	0	0	52	19	0	0	0
Gram_negative_bacterium_cTPY_13	0	0	0	0	77	0	0	0	0	0
Paeniclostridium	28	0	29	0	0	0	0	0	19	0
Gaiella_sp._EBR4_RS1	20	14	0	7	0	11	12	0	12	0
Cytophaga	0	0	0	31	0	0	0	0	0	45
bacterium_Ellin6515	0	0	0	0	0	18	33	0	25	0
Chelativorans	0	0	75	0	0	0	0	0	0	0
C1_B045	0	0	75	0	0	0	0	0	0	0
Gardnerella	10	0	14	0	24	0	2	14	10	0
DMER64	0	0	0	74	0	0	0	0	0	0
Trichococcus	0	0	0	0	74	0	0	0	0	0
Lechevalieria	24	22	12	0	0	15	0	0	0	0
Sorangium	15	0	30	0	0	0	4	21	3	0
Labilibacter	0	0	73	0	0	0	0	0	0	0
Butyricicoccus	0	25	0	0	0	0	4	0	0	43
Smaragdicoccus	0	0	72	0	0	0	0	0	0	0
IMCC26207	64	0	0	0	0	0	0	0	7	0
Virgisporangium	59	0	0	0	0	12	0	0	0	0
Fonticella	32	0	0	0	0	14	12	0	13	0
Rubrobacter	26	0	0	0	13	27	5	0	0	0
Geobacter	5	0	8	0	0	0	18	0	40	0
Proteus	0	57	0	0	0	14	0	0	0	0
Hungatella	0	0	71	0	0	0	0	0	0	0
Nitrosomonas	0	0	0	61	0	10	0	0	0	0
Cnuella	0	0	0	0	0	0	0	0	0	71
Clostridium_sensu_stricto_14	0	0	0	0	0	0	0	0	0	71
Ruminiclostridium	0	0	70	0	0	0	0	0	0	0
Flavonifractor	0	0	70	0	0	0	0	0	0	0
Nocardia	0	0	50	0	0	5	0	15	0	0
Niabella	0	0	0	69	0	0	0	0	0	0
Chthonobacter	0	0	0	0	0	69	0	0	0	0
Papillibacter	0	0	0	0	0	0	0	0	0	69
Starkeya	20	0	0	0	0	0	48	0	0	0
Candidatus_Omnitrophus	0	32	7	0	0	0	2	16	0	11
Vagococcus	0	0	68	0	0	0	0	0	0	0
Family_XIII_UCG_001	0	0	0	0	0	11	0	0	0	57
Planococcus	0	0	0	0	67	0	0	0	0	0
Sinomonas	40	26	0	0	0	0	0	0	0	0
Domibacillus	0	0	66	0	0	0	0	0	0	0
Sphaerotilus	0	0	66	0	0	0	0	0	0	0
Paenalcaligenes	0	65	0	0	0	0	0	0	0	0
OM60_NOR5__clade	0	0	65	0	0	0	0	0	0	0
Spirochaeta_2	35	0	0	0	0	0	29	0	0	0
