genus	Control1	Control2	Control3	Control4	Control5	SynCom1	SynCom2	SynCom3	SynCom4	SynCom5
Nannocystis	5	0	11	0	0	4	0	0	0	5
Gardnerella	4	0	0	0	0	6	0	15	0	0
Rubrivivax	0	22	0	0	0	0	0	0	2	0
Methylotenera	0	0	0	0	0	16	0	0	0	7
Denitratisoma	0	0	0	14	0	9	0	0	0	0
Sulfurifustis	0	0	7	2	0	0	0	0	9	4
Methanobrevibacter	0	0	0	0	0	0	4	2	15	1
Microcoleus_Es_Yyy1400	0	0	0	22	0	0	0	0	0	0
Aetherobacter	21	0	0	0	0	0	0	0	0	0
bacterium_WX65	0	0	3	0	0	5	4	0	9	0
Terrabacter	0	0	0	0	0	0	0	0	0	21
Methyloceanibacter	0	0	0	0	0	0	0	0	21	0
Alterococcus	13	0	0	2	0	4	0	0	0	2
Truepera	0	3	0	3	5	2	2	0	0	5
Sphingobium	0	0	0	0	11	6	0	0	0	2
Parvibaculum	2	7	3	0	0	0	7	0	0	0
Pseudoxanthomonas	9	0	0	0	0	0	0	0	4	6
JdFR_76	0	0	19	0	0	0	0	0	0	0
Hydrogenophaga	0	0	0	0	0	6	0	0	13	0
Flavihumibacter	0	0	9	0	0	5	0	0	0	4
Alkanibacter	0	14	0	0	2	0	2	0	0	0
Nevskia	0	0	0	2	0	0	5	0	11	0
Haliscomenobacter	0	2	9	0	0	5	2	0	0	0
Pedobacter	4	0	3	3	0	0	5	0	0	2
UTCFX1	5	3	0	0	4	0	0	1	0	4
Peredibacter	0	3	4	0	0	5	5	0	0	0
Amycolatopsis	0	6	0	0	11	0	0	0	0	0
Pirellula	0	2	8	2	0	0	2	3	0	0
YC_ZSS_LKJ147	2	7	2	3	0	0	2	0	1	0
Holophaga	5	0	0	0	0	0	0	0	11	0
Blastococcus	6	0	0	0	0	7	0	3	0	0
Brevibacillus	16	0	0	0	0	0	0	0	0	0
Sphingorhabdus	16	0	0	0	0	0	0	0	0	0
JSC_12	0	0	11	0	0	0	5	0	0	0
Leptospira	0	0	11	0	0	0	5	0	0	0
Acidobacteria_bacterium_SCN_69_37	0	0	0	0	2	5	0	8	0	0
Bacteroides	5	4	0	2	0	0	0	0	0	4
Microvirga	0	0	0	0	0	7	8	0	0	0
Phycisphaera	0	0	0	0	1	12	0	2	0	0
Gemmata	7	0	0	0	2	4	0	2	0	0
Candidatus_Nucleicultrix	0	0	0	0	2	0	0	0	13	0
Lysinibacillus	0	0	2	13	0	0	0	0	0	0
Ferrovum	0	0	0	5	0	7	0	0	2	1
Pantoea	0	0	0	10	0	0	0	0	5	0
Brevibacterium	0	0	0	0	0	0	2	0	0	13
Aeromonas	9	0	0	0	2	0	0	0	3	0
Longivirga	0	0	0	0	0	2	0	3	9	0
Chitinophaga	7	0	0	0	5	0	0	0	0	2
Sphaerisporangium	0	6	0	0	0	0	0	8	0	0
Microcoleus_PCC_7113	0	0	0	0	0	0	14	0	0	0
I_8	0	3	0	0	0	7	4	0	0	0
Nitrolancea	3	0	0	0	2	3	0	0	6	0
Noviherbaspirillum	0	0	0	0	0	0	0	5	8	0
Actinomadura	2	2	0	0	0	0	0	4	5	0
Luteolibacter	1	1	0	0	4	3	4	0	0	0
Cellvibrio	0	0	0	5	0	4	0	0	3	0
Bifidobacterium	0	0	0	2	0	8	0	0	0	2
Streptococcus	0	3	0	0	7	2	0	0	0	0
Cohnella	4	0	0	0	5	0	0	3	0	0
Terrimicrobium	0	0	2	6	4	0	0	0	0	0
Niveitalea	0	0	12	0	0	0	0	0	0	0
Cephalothrix_SAG_75.79	0	0	12	0	0	0	0	0	0	0
Roseimicrobium	0	0	4	3	0	0	2	0	0	3
Desulfitobacterium	0	0	0	0	0	2	0	0	6	3
Actinospica	0	0	0	0	11	0	0	0	0	0
Microseira_Carmichael_Alabama	3	8	0	0	0	0	0	0	0	0
CL500_3	3	0	0	0	4	3	1	0	0	0
Ruminococcus	0	0	11	0	0	0	0	0	0	0
Fluviicoccus	0	0	0	0	11	0	0	0	0	0
Halomarina	0	0	0	0	0	0	0	11	0	0
Clostridium_sensu_stricto_8	0	8	0	0	0	0	0	2	0	0
Acinetobacter	5	2	0	1	0	2	0	0	0	0
Thermincola	0	5	0	0	0	0	0	0	2	3
Nonomuraea	0	0	0	0	0	10	0	0	0	0
Chryseobacterium	8	0	0	0	0	0	0	0	0	2
Aeromicrobium	0	0	0	0	0	0	0	0	5	5
Scytonema_VB_61278	10	0	0	0	0	0	0	0	0	0
Raineya	0	0	6	1	0	2	1	0	0	0
Faecalibacterium	3	0	0	2	0	2	0	0	0	3
Pseudobacteriovorax	0	0	0	0	0	0	0	0	10	0
Akkermansia	0	0	0	0	0	0	0	0	0	9
Luteimonas	0	0	9	0	0	0	0	0	0	0
Megamonas	5	2	0	0	0	0	0	0	2	0
Cyanothece_PCC_7425	0	2	0	0	0	0	7	0	0	0
Woeseia	0	0	0	0	0	4	5	0	0	0
Nocardia	0	0	0	0	2	0	7	0	0	0
Membranicola	0	0	0	0	0	0	2	0	7	0
Chalicogloea_CCALA_975	2	0	0	0	7	0	0	0	0	0
Rhodoblastus	0	0	0	0	0	0	0	8	0	0
Edaphobaculum	0	0	0	0	0	0	0	0	0	8
Sporichthya	0	0	0	0	0	0	3	0	2	3
Subdoligranulum	0	6	2	0	0	0	0	0	0	0
alphaI_cluster	0	0	0	0	0	0	0	0	0	8
Alistipes	4	0	2	0	0	0	0	0	0	2
Kallotenue	0	0	0	8	0	0	0	0	0	0
[Ruminococcus]_gnavus_group	0	0	0	2	0	0	6	0	0	0
Abditibacterium	3	0	0	0	0	5	0	0	0	0
Levilactobacillus	0	0	0	8	0	0	0	0	0	0
Blastopirellula	0	0	0	3	0	0	0	0	5	0
Halonotius	0	0	0	0	0	0	0	0	8	0
Kaistia	0	0	0	3	0	4	0	0	0	0
Polyangium	0	0	0	0	0	0	0	0	0	7
Vampirovibrio	0	0	4	0	0	3	0	0	0	0
Methanobacterium	5	0	0	0	2	0	0	0	0	0
Lachnospiraceae_NK4A136_group	0	0	0	0	0	0	3	0	0	4
Silvanigrella	0	0	2	0	0	2	0	0	0	3
beta_proteobacterium_WY25	7	0	0	0	0	0	0	0	0	0
Rickettsia	0	0	7	0	0	0	0	0	0	0
Diplosphaera	0	0	0	5	2	0	0	0	0	0
Lewinella	0	0	0	4	0	0	3	0	0	0
Rhodopirellula	0	0	0	0	0	0	0	7	0	0
Promicromonospora	0	0	0	0	0	0	0	0	7	0
Marmoricola	0	0	0	0	0	0	0	0	0	6
Methylobacterium_Methylorubrum	6	0	0	0	0	0	0	0	0	0
Actinomycetospora	6	0	0	0	0	0	0	0	0	0
